"ProteinFamily","Strict_org90","Strict_org98","Strict_Skip3_org90","Strict_Skip3_org98","X2_org90","X2_org98","X2_Skip3_org90","X2_Skip3_org98","X3_org90","X3_org98","X3_Skip3_org90","X3_skip3_org98"
579782,0,0,1,0,0,0,1,0,0,0,1,0
583706,0,0,1,1,0,0,1,1,0,0,1,1
586423,0,0,0,0,0,0,1,1,0,0,1,1
586466,0,0,1,0,0,0,1,0,0,0,1,0
586997,0,0,1,0,0,0,1,0,0,0,1,0
587158,0,0,0,0,0,0,1,0,0,0,0,0
587286,1,1,1,1,1,1,1,1,1,1,1,1
587454,0,0,0,0,1,1,1,1,1,1,1,1
587484,1,0,0,0,0,0,0,0,0,0,0,0
587507,0,0,0,0,0,0,1,1,0,0,0,0
587711,0,0,1,1,0,0,1,1,0,0,1,1
588109,0,0,1,0,1,0,1,0,1,0,1,0
588183,1,0,0,0,0,0,0,0,0,0,0,0
588205,0,0,0,0,1,1,1,1,1,1,1,1
588403,1,1,1,1,1,1,1,1,1,1,1,1
588505,0,0,0,0,1,1,1,1,0,0,0,0
588727,1,0,0,0,0,0,0,0,0,0,0,0
588743,0,0,0,0,0,0,1,0,0,0,1,0
588804,1,0,1,0,1,0,1,0,1,0,1,0
588850,0,0,0,0,0,0,1,1,0,0,1,1
588879,0,0,1,0,0,0,1,0,0,0,1,0
588957,1,0,0,0,0,0,0,0,0,0,0,0
589167,0,0,1,1,0,0,1,1,0,0,1,1
589332,0,0,0,0,0,0,1,0,0,0,0,0
589362,0,0,1,1,0,0,1,1,0,0,1,1
589458,0,0,0,0,0,0,1,0,0,0,1,0
589644,1,0,0,0,0,0,0,0,0,0,0,0
589877,1,0,0,0,0,0,0,0,0,0,0,0
589887,0,0,0,0,0,0,1,0,0,0,0,0
590331,0,0,0,0,0,0,1,1,0,0,0,0
590403,0,0,1,0,0,0,1,0,0,0,1,0
590449,0,0,1,1,0,0,1,1,0,0,1,1
590541,0,0,0,0,0,0,1,1,0,0,0,0
590711,0,0,1,1,1,1,1,1,1,1,1,1
590810,0,0,0,0,0,0,1,1,0,0,1,1
591174,0,0,0,0,0,0,1,0,0,0,0,0
591180,0,0,0,0,0,0,1,0,0,0,0,0
591262,0,0,0,0,1,1,1,1,0,0,0,0
591405,0,0,1,0,0,0,1,0,0,0,1,0
592093,0,0,1,0,0,0,1,0,0,0,1,0
592222,0,0,0,0,0,0,1,0,0,0,0,0
592302,0,0,0,0,0,0,1,1,0,0,0,0
592348,0,0,1,0,0,0,1,0,0,0,1,0
592362,0,0,1,1,0,0,1,1,0,0,1,1
592547,0,0,0,0,1,1,1,1,0,0,0,0
592748,1,0,0,0,0,0,0,0,0,0,0,0
592908,0,0,0,0,0,0,1,0,0,0,1,0
593464,0,0,1,1,0,0,1,1,0,0,1,1
593871,1,1,1,1,1,1,1,1,1,1,1,1
594101,0,0,0,0,1,1,1,1,0,0,0,0
594839,1,0,1,0,1,0,1,0,1,0,1,0
595067,0,0,1,0,0,0,1,0,0,0,1,0
595069,0,0,1,0,1,0,1,0,0,0,1,0
595071,0,0,1,1,1,1,1,1,0,0,1,1
595608,0,0,0,0,1,0,1,0,0,0,0,0
595862,0,0,0,0,1,1,1,1,0,0,0,0
596045,1,0,0,0,0,0,0,0,0,0,0,0
596406,0,0,1,1,0,0,1,1,0,0,1,1
596484,0,0,1,1,0,0,1,1,0,0,1,1
596511,0,0,1,0,0,0,1,0,0,0,1,0
596585,1,0,0,0,0,0,0,0,0,0,0,0
596590,1,0,0,0,0,0,0,0,0,0,0,0
596635,0,0,1,1,0,0,1,1,0,0,1,1
596823,1,0,0,0,0,0,0,0,0,0,0,0
596856,0,0,1,0,1,0,1,0,1,0,1,0
596896,0,0,0,0,1,1,1,1,1,1,1,1
596899,0,0,0,0,1,0,1,0,0,0,1,0
597203,0,0,0,0,0,0,1,1,0,0,0,0
597256,1,0,0,0,0,0,0,0,0,0,0,0
597268,1,1,1,1,1,1,1,1,1,1,1,1
597432,0,0,0,0,1,1,1,1,0,0,0,0
598044,1,0,0,0,0,0,0,0,0,0,0,0
